2016-03-31 13:49:05,073 | features | DEBUG    | [4.414988786424261, 10.426919425355614, 91.0, 55.845044302473895, -0.4111363971280697, 2.351004398057881, 2.351004398057881, 29.0, 24.486998721058754, 17.435144162538602, 7.875, 45.0, 45.0, 707.484375, 46.0, -113.99779223740607, 45.0, 4.550846642555398, 14.359375, 9.970613810783142, -496.1688199724194, 39.0, 113.94903630305829, 4.4375, -5398.0]
2016-03-31 13:49:05,075 | features | DEBUG    | [-0.33465541644736024, -0.024402448525582446, 0.60387300644941277, 0.14975366784852936, 0.32440715469043219, -0.93297342842441811, -0.93297342842441811, -0.23309199712517761, -1.0348355921752777, 0.36838290733664919, 1.5265711955021117, -0.31709040405680955, -0.2998378767862831, -0.78342421357890335, -0.3434093042222377, 0.33640217562593805, -0.35771265830365451, -0.30817391776690062, 1.1929880138087285, 0.30771729657796576, 0.13590533955013492, 0.11087377286778845, -0.073260057521908034, 1.3887879561889791, -1.0171710183401972]
2016-03-31 13:49:07,025 | features | DEBUG    | [3.133158641190411, 4.531543335663438, 15.0, 19.638821818378133, -1.673270053065956, 4.843939008409117, 4.843939008409117, 14.0, 54.616709153757064, 3.0172975732713687, 48.671875, 52.0, 58.0, 3003.359375, 52.0, -8.371613225814126, 39.0, 4.625683787588695, -24.171875, 5.577103607220265, 0.5931961837136174, 24.0, 2.0966647422299935, 0.703125, -152432.0]
2016-03-31 13:49:07,026 | features | DEBUG    | [-0.41515645767719045, -0.48188931934789891, -0.61247844550342834, -0.5516581605101597, 0.32393787814375491, 0.21798723191260566, 0.21798723191260566, -0.51079139261404172, 0.31285182562219149, -0.58803064638871283, 3.2947886222797664, -0.19199001210814318, -0.066638382712682159, -0.014427570866811717, -0.23100174849318342, 0.41937161280285296, -0.47233389351759786, -0.30805044779342106, -0.54220932504365238, -0.1783969255463482, 0.38152001462143426, -0.26450647708181807, -0.41896062185236038, 1.0730868699526979, -2.5285818677516558]
2016-03-31 13:49:08,989 | features | DEBUG    | [0.4817026069836068, 0.4621094233089155, 1.0, 1.8343284018141333, 0.47506286858647556, 5.001598865456675, 5.001598865456675, 1.0, 56.58475941631397, 0.4653336792785003, 49.6875, 126.0, 126.0, 3202.046875, 126.0, 0.4128031937742645, 126.0, 0.024734792114009963, -26.9375, 0.39184602471712554, 0.41711272105736663, 2.0, 0.04650791735126677, 2.640625, -171324.0]
2016-03-31 13:49:08,990 | features | DEBUG    | [-0.58167225723331972, -0.79768131603432169, -0.83654318665263583, -0.89657904491885776, 0.32473665428750415, 0.29077706459519326, 0.29077706459519326, -0.75146420203772391, 0.40088176478690773, -0.75731618023878422, 3.3388078228697884, 1.1304998456349014, 1.1531743555184615, 0.052122228424900031, 1.1553581054984858, 0.42627177801834287, 1.1896740170845805, -0.31564131794486122, -0.66675511943816634, -0.75211300663991998, 0.38143295345117734, -0.81506417700790768, -0.42529701294927214, 1.2368815757824001, -2.7227789498352637]
2016-03-31 13:49:10,938 | features | DEBUG    | [0.4653336792785003, 0.4589493468695505, 1.0, 1.396670616315511, 0.4298642395505787, 4.994369388214842, 4.994369388214842, 1.0, 56.50299006317332, 0.48980753089640694, 49.609375, 126.0, 126.0, 3192.796875, 126.0, 0.42037764656066756, 126.0, 0.023960482330012453, -26.90625, 0.2926259066792319, 0.4637393587077298, 1.0, 0.030113523256482637, 2.6875, -170856.0]
2016-03-31 13:49:10,940 | features | DEBUG    | [-0.58270025281368321, -0.79792654101400218, -0.83654318665263583, -0.90505765236421742, 0.32471984889098476, 0.28743929397513734, 0.28743929397513734, -0.75146420203772391, 0.39722426105366582, -0.7556926976157512, 3.3354217305167095, 1.1304998456349014, 1.1531743555184615, 0.04902396787278511, 1.1553581054984858, 0.42627772775628187, 1.1896740170845805, -0.31564259543892448, -0.66534782232636391, -0.76309108755116029, 0.38145600711889688, -0.84008952700454809, -0.42534768287438268, 1.2408443509234413, -2.7179682238975587]
2016-03-31 13:49:12,888 | features | DEBUG    | [0.4434008690887529, 0.4498414361457779, 1.0, 1.8779105961026232, 0.39991148651784997, 4.997667913168351, 4.997667913168351, 1.0, 56.54038245890163, 0.4817026069836068, 49.640625, 126.0, 126.0, 3197.0156250000005, 126.0, 0.40012684758808614, 126.0, 0.020382449652885097, -26.921875, 0.3682128578165316, 0.44677540383009584, 2.0, 0.026620392224660477, 2.734375, -171060.0]
2016-03-31 13:49:12,888 | features | DEBUG    | [-0.58407766936449201, -0.79863332367101247, -0.83654318665263583, -0.89573474069481995, 0.32470871209541596, 0.28896218689132702, 0.28896218689132702, -0.75146420203772391, 0.39889680488235324, -0.75623034094786201, 3.3367761674579413, 1.1304998456349014, 1.1531743555184615, 0.0504370258948647, 1.1553581054984858, 0.42626182073958524, 1.1896740170845805, -0.31564849865182176, -0.66605147088226513, -0.75472786765353495, 0.38144761960912421, -0.81506417700790768, -0.4253584790457301, 1.2448071260644824, -2.7200652069986093]
2016-03-31 13:49:14,828 | features | DEBUG    | [2.0605380193371485, 2.154200091392492, 12.0, 15.297672508690084, 2.7146829340591125, 4.98056525641794, 4.98056525641794, 17.0, 56.30779299068765, 1.4457887529339257, 49.640625, 57.0, 62.0, 3175.171875, 53.0, 2.96253716585826, 59.0, 0.711020776967152, -26.234375, 3.1435081836679544, 2.141064141803951, 22.0, 0.1866255404192019, 2.578125, -166942.0]
2016-03-31 13:49:14,829 | features | DEBUG    | [-0.48251879677089532, -0.66637344812022914, -0.66049231860682989, -0.63575788883238105, 0.3255693720945681, 0.28106607721190108, 0.28106607721190108, -0.45525151351626886, 0.38849319013390199, -0.69227730529605214, 3.3367761674579413, -0.10263258928766718, 0.0051153077715027501, 0.043120525469431001, -0.21226715587167438, 0.42827459582917604, -0.090263109471120054, -0.314509049840412, -0.635090934422612, -0.44765892596826018, 0.3822853289434136, -0.31455717707509895, -0.42486395336643723, 1.2315978755943453, -2.677734930478374]
2016-03-31 13:49:16,770 | features | DEBUG    | [5.278745824560504, 15.47930476552748, 95.0, 42.72363761913692, -15.369500244762431, 3.7424729144811457, 3.7424729144811457, 25.0, 39.43405023986068, 23.68298148892416, 28.671875, 23.0, 20.0, 1792.78125, 14.0, -493.2318592274074, 22.0, 9.879702911805397, -3.265625, 17.77217340782481, -1238.8046577873754, 53.0, 428.9008772897859, 7.90625, -60090.0]
2016-03-31 13:49:16,772 | features | DEBUG    | [-0.2804100539099732, 0.3676675270447905, 0.66789150392061492, -0.10444324143799218, 0.31884545423395882, -0.29054762397258904, -0.29054762397258904, -0.30714516925554136, -0.36626118585776268, 0.78283566652154712, 2.42794897989164, -0.7102630644669039, -0.74829844231243881, -0.41990718707662228, -0.94291626811052709, 0.038513551887880262, -0.79709405995710403, -0.29938211067767828, 0.39927244275216495, 1.1709107112187089, -0.23127704168871829, 0.46122867282075453, 0.90015720352217543, 1.6820333166260266, -1.5793680760004085]
2016-03-31 13:49:18,816 | features | DEBUG    | [7.838914008626811, 8.933834489510241, 40.0, 42.267273963958395, -49.1633829679548, 2.18350639919202, 2.18350639919202, 37.0, 23.045081221190593, 7.592328675999838, -3.203125, 8.0, 7.0, 610.265625, 8.0, -73.30022854136283, 10.0, 21.100926043014844, 18.015625, 8.237598051224841, -37.842609013717606, 42.0, 18.939595929109544, 9.484375, -7908.0]
