18:48:35:331 | Início do arquivo de aquisição de dados
18:48:37:997 | 86|Ticks=0||1|5|-1|14| 0 |
18:48:38:28 | 87|Ticks=0||1|17|16|29| 0 |
18:48:38:59 | 88|Ticks=0||1|29|2|23| 0 |
18:48:38:89 | 89|Ticks=0||1|12|4|20| 0 |
18:48:38:122 | 90|Ticks=0||1|4|6|21| 0 |
18:48:38:148 | 91|Ticks=0||1|5|2|18| 0 |
18:48:38:179 | 92|Ticks=0||1|14|0|20| 0 |
18:48:38:211 | 93|Ticks=0||1|12|-4|21| 0 |
18:48:38:242 | 94|Ticks=0||1|5|1|18| 0 |
18:48:38:273 | 95|Ticks=0||1|9|-1|20| 0 |
18:48:38:303 | 96|Ticks=0||1|7|1|19| 0 |
18:48:38:336 | 97|Ticks=0||1|8|1|20| 0 |
18:48:38:362 | 98|Ticks=0||1|6|-2|20| 0 |
18:48:38:393 | 99|Ticks=0||1|6|-1|19| 0 |
18:48:38:424 | 100|Ticks=0||1|4|-2|20| 0 |
18:48:38:455 | 101|Ticks=0||1|7|-2|20| 0 |
18:48:38:487 | 102|Ticks=0||1|5|-1|21| 0 |
18:48:38:517 | 103|Ticks=0||1|4|0|21| 0 |
18:48:38:543 | 104|Ticks=0||1|2|0|20| 0 |
18:48:38:575 | 105|Ticks=0||1|5|-1|20| 0 |
18:48:38:606 | 106|Ticks=0||1|7|-2|21| 0 |
18:48:38:638 | 107|Ticks=0||1|4|-1|20| 0 |
18:48:38:668 | 108|Ticks=0||1|0|-1|18| 0 |
18:48:38:700 | 109|Ticks=0||1|5|-3|21| 0 |
18:48:38:726 | 110|Ticks=0||1|5|-4|20| 0 |
18:48:38:757 | 111|Ticks=0||1|0|-3|19| 0 |
18:48:38:789 | 112|Ticks=0||1|-1|-3|18| 0 |
18:48:38:820 | 113|Ticks=0||1|4|-4|21| 0 |
18:48:38:852 | 114|Ticks=0||1|1|-5|19| 0 |
18:48:38:883 | 115|Ticks=0||1|1|-3|19| 0 |
18:48:38:913 | 116|Ticks=0||1|4|-3|20| 0 |
18:48:38:939 | 117|Ticks=0||1|4|-4|19| 0 |
18:48:38:971 | 118|Ticks=0||1|4|-2|20| 0 |
18:48:39:1 | 119|Ticks=0||1|4|-2|20| 0 |
18:48:39:33 | 120|Ticks=0||1|3|0|21| 0 |
18:48:39:64 | 121|Ticks=0||1|3|0|20| 0 |
18:48:39:97 | 122|Ticks=15||1|2|-1|20| 0 |
18:48:39:122 | 123|Ticks=0||1|2|-1|19| 0 |
18:48:39:154 | 124|Ticks=0||1|5|-2|20| 0 |
18:48:39:185 | 125|Ticks=0||1|3|-3|18| 0 |
18:48:39:216 | 126|Ticks=0||1|4|-2|20| 0 |
18:48:39:248 | 127|Ticks=0||1|4|-1|20| 0 |
18:48:39:279 | 128|Ticks=0||1|5|-1|20| 0 |
18:48:39:310 | 129|Ticks=0||1|4|-1|20| 0 |
18:48:39:337 | 130|Ticks=0||1|3|-1|20| 0 |
18:48:39:367 | 131|Ticks=0||1|3|-1|20| 0 |
18:48:39:399 | 132|Ticks=0||1|3|-1|20| 0 |
18:48:39:430 | 133|Ticks=0||1|3|-2|20| 0 |
18:48:39:460 | 134|Ticks=0||1|4|-2|20| 0 |
18:48:39:492 | 135|Ticks=0||1|4|-1|20| 0 |
18:48:39:518 | 136|Ticks=16||1|3|-1|19| 0 |
18:48:39:551 | 137|Ticks=16||1|6|-2|21| 0 |
18:48:39:582 | 138|Ticks=16||1|5|-1|21| 0 |
18:48:39:612 | 139|Ticks=15||1|-1|-1|18| 0 |
18:48:39:646 | 140|Ticks=0||1|3|-2|20| 0 |
18:48:39:676 | 141|Ticks=0||1|2|-2|20| 0 |
18:48:39:702 | 142|Ticks=0||1|2|-1|20| 0 |
18:48:39:732 | 143|Ticks=0||1|1|-1|20| 0 |
18:48:39:763 | 144|Ticks=0||1|1|-1|19| 0 |
18:48:39:796 | 145|Ticks=0||1|2|-2|20| 0 |
18:48:39:826 | 146|Ticks=0||1|2|-2|20| 0 |
18:48:39:858 | 147|Ticks=0||1|1|-2|20| 0 |
18:48:39:889 | 148|Ticks=0||1|1|-2|19| 0 |
18:48:39:914 | 149|Ticks=0||1|3|-2|19| 0 |
18:48:39:947 | 150|Ticks=0||1|3|-3|19| 0 |
18:48:39:978 | 151|Ticks=0||1|3|-3|20| 0 |
18:48:40:9 | 152|Ticks=0||1|2|-2|19| 0 |
18:48:40:41 | 153|Ticks=0||1|3|-2|20| 0 |
18:48:40:71 | 154|Ticks=0||1|4|-2|20| 0 |
18:48:40:98 | 155|Ticks=0||1|5|0|20| 0 |
18:48:40:129 | 156|Ticks=0||1|4|-2|20| 0 |
18:48:40:161 | 157|Ticks=0||1|4|-1|21| 0 |
18:48:40:191 | 158|Ticks=0||1|4|-1|21| 0 |
18:48:40:222 | 159|Ticks=0||1|3|-1|19| 0 |
18:48:40:254 | 160|Ticks=0||1|4|-2|20| 0 |
18:48:40:285 | 161|Ticks=0||1|4|-1|20| 0 |
18:48:40:313 | 162|Ticks=0||1|1|-1|19| 0 |
18:48:40:343 | 163|Ticks=0||1|3|-2|20| 0 |
18:48:40:373 | 164|Ticks=0||1|4|-2|20| 0 |
18:48:40:406 | 165|Ticks=0||1|3|-1|19| 0 |
18:48:40:436 | 166|Ticks=0||1|2|-2|20| 0 |
18:48:40:467 | 167|Ticks=0||1|3|-2|19| 0 |
18:48:40:494 | 168|Ticks=0||1|4|-2|21| 0 |
18:48:40:525 | 169|Ticks=0||1|3|-2|19| 0 |
18:48:40:557 | 170|Ticks=0||1|3|-3|20| 0 |
18:48:40:588 | 171|Ticks=0||1|2|-2|20| 0 |
18:48:40:618 | 172|Ticks=0||1|3|-3|20| 0 |
18:48:40:651 | 173|Ticks=0||1|3|-2|20| 0 |
18:48:40:681 | 174|Ticks=0||1|3|-2|20| 0 |
18:48:40:707 | 175|Ticks=0||1|2|-1|20| 0 |
18:48:40:739 | 176|Ticks=0||1|3|-2|20| 0 |
18:48:40:774 | 177|Ticks=0||1|4|-2|19| 0 |
18:48:40:802 | 178|Ticks=0||1|3|-3|19| 0 |
18:48:40:833 | 179|Ticks=0||1|4|-2|20| 0 |
